,name,address
121,서울성북구장위2동점,서울 성북구 돌곶이로
122,서울성북구석관점(B),서울 성북구 한천로
123,서울성동구한양점,서울 성동구 마조로
124,경기포천시일동점,경기 포천시 일동면 화동로
125,서울성북구월곡점,서울 성북구 오패산로
126,서울성동구금호점,서울 성동구 독서당로
127,서울은평구응암점,서울 은평구 응암로
128,서울동대문구전농2점,서울 동대문구 답십리로
129,경기고양시행신2점,경기 고양시 덕양구 무원로
130,경기의정부시금오점,경기 의정부시 하금로
131,경기고양시백마점,경기 고양시 일산동구 경의로
132,경기고양시덕이점,경기 고양시 일산서구 탄중로
133,서울종로구창신점(B),서울 종로구 지봉로
134,경기의정부시호원점,경기 의정부시 평화로
135,경기동두천시중앙점,경기 동두천시 동광로
136,서울광진구중곡2점,서울 광진구 동일로
137,경기고양시신원점,경기 고양시 덕양구 권율대로
138,서울광진구자양점,서울 광진구 능동로
139,서울마포구서교점,서울 마포구 월드컵북로
140,서울강북구번동점,서울 강북구 오현로
141,서울마포구성산점,서울 마포구 월드컵북로
142,서울동대문구휘경1점,서울 동대문구 한천로
143,서울서대문구남가좌점,서울 서대문구 증가로
144,경기의정부시망월사역점,경기 의정부시 평화로
145,서울광진구군자송정점,서울 광진구 동일로
146,경기의정부시가능3점,경기 의정부시 호국로
147,서울성북구길음점,서울 성북구 삼양로
148,경기포천시송우점,경기 포천시 소흘읍 봉솔로길
149,경기고양시관산점,경기 고양시 덕양구 통일로
150,서울마포구상암점(B),서울 마포구 월드컵북로
151,경기파주시금촌2동점,경기 파주시 황골로
152,서울용산구숙대점,서울 용산구 청파로
153,서울중구중림점,서울 중구 중림로
154,서울용산구이촌점,서울 용산구 이촌로
155,경기고양시화정2점,경기도 고양시 덕양구 화정로
156,서울도봉구창동점,서울 도봉구 덕릉로
157,경기의정부시신시가지점,경기 의정부시 범골로
158,경기파주시적성점,경기 파주시 적성면 청송로
159,서울용산구보광점,서울 용산구 보광로
160,서울마포구홍대역점,서울특별시 마포구 동교로
161,경기파주시법원점,경기 파주시 법원읍 사임당로
162,경기파주시운정1점,경기 파주시 와석순환로
163,경기고양시가좌점,경기 고양시 일산서구 가좌로
164,서울동대문구회기점,서울 동대문구 회기로
165,서울도봉구도봉산역점,서울 도봉구 도봉산3길 
166,서울중랑구면목3점,서울 중랑구 용마산로
167,서울중구을지로점,서울 중구 퇴계로
168,서울은평구갈현1점,서울 은평구 연서로
169,서울동대문구전농점,서울 동대문구 전농로
170,서울강북구수유2점,서울 강북구 삼각산로
171,서울중랑구중화점,서울 중랑구 동일로
172,서울성북구종암점(B),서울 성북구 종암로
173,경기고양시화정1점,경기 고양시 덕양구 화중로
174,서울서대문구북가좌2점,서울 서대문구 증가로
175,경기의정부시가능2점,경기 의정부시 가능로
176,경기연천군군남점,경기 연천군 군남면 군왕로
177,경기고양시성사점,경기 고양시 덕양구 마상로
178,서울성동구성수2가점,서울 성동구 성덕정길
179,서울서대문구연대점,서울 서대문구 연세로
180,서울은평구대조점,서울 은평구 통일로
181,경기파주시운정3점,경기 파주시 한빛로
182,서울광진구중곡1점,서울 광진구 면목로
183,서울중구신당2점,서울 중구 청구로
184,서울종로구광화문점(B),서울 종로구 사직로
185,서울노원구상계중앙점,서울 노원구 동일로
186,서울종로구독립문점,서울 종로구 통일로
187,서울중랑구면목2점,서울 중랑구 망우로
188,서울노원구중계2동점,서울 노원구 동일로
189,서울서대문구홍은1점,서울 서대문구 간호대로
190,서울중랑구상봉1점,서울 중랑구 신내로
191,경기포천시가산점,경기 포천시 가산면 가산로
192,서울중랑구신내1점,서울 중랑구 신내로
193,경기양주시옥정지구점,경기 양주시 새터로
194,경기양주시은현점,경기 양주시 은현면 은현로
195,서울은평구구산점,서울 은평구 갈현로
196,서울마포구마포역점,서울 마포구 새창로
197,경기고양시고양동점,경기 고양시 덕양구 혜음로
198,서울노원구하계1점,서울 노원구 공릉로
199,서울마포구공덕점,서울 마포구 만리재로
200,서울동대문구청량리점,서울 동대문구 홍릉로
201,서울도봉구쌍문점,서울 도봉구 노해로
202,서울종로구종로점,서울 종로구 수표로
203,서울은평구녹번점,서울 은평구 은평로
204,서울노원구중계4동점,서울 노원구 덕릉로
205,경기의정부시민락용현점,경기 의정부시 용현로
206,서울은평구불광점,서울 은평구 불광로
207,서울서대문구연희점,서울 서대문구 연희로
208,경기파주시LCD점,경기 파주시 월롱면 엘씨디로
